,Fx,Fy,Fz,Mx,My,Mz,CoPx,CoPy,Time
2.756,13.98403,-4.746362,358.912185,-33.575879,-5.8373,2.749933,0.016264,-0.093549,0.168
2.757,14.157647,-7.950726,358.905624,-33.550725,-5.881076,1.710351,0.016386,-0.093481,0.169
2.758,11.678926,-7.40067,358.731441,-33.479508,-5.971726,3.187498,0.016647,-0.093327,0.17
2.759,13.097973,-4.037251,359.245677,-33.540363,-5.971401,2.542791,0.016622,-0.093363,0.171
2.76,14.688064,-5.909292,359.763285,-33.615415,-5.968246,1.663438,0.016589,-0.093438,0.172
2.761,12.030065,-7.579121,359.593912,-33.569906,-6.024058,3.130012,0.016752,-0.093355,0.173
2.762,11.767916,-4.48258,360.607845,-33.645433,-6.035551,2.307821,0.016737,-0.093302,0.174
2.763,13.980177,-4.22296,361.126443,-33.757923,-6.045943,1.559169,0.016742,-0.09348,0.175
2.764,12.204588,-7.04767,361.824692,-33.823596,-6.083573,2.981061,0.016814,-0.093481,0.176
2.765,10.614708,-5.459565,362.999885,-33.987639,-6.091182,2.039662,0.01678,-0.09363,0.177
2.766,12.474293,-3.424972,364.202404,-34.183565,-6.070182,1.414938,0.016667,-0.093859,0.178
2.767,11.849109,-5.983374,365.251016,-34.264637,-6.098221,2.832016,0.016696,-0.093811,0.179
2.768,9.283734,-6.259366,366.420338,-34.40303,-6.108638,1.771634,0.016671,-0.09389,0.18
2.769,10.260337,-3.334908,367.957204,-34.573469,-6.082207,1.261551,0.01653,-0.093961,0.181
2.77,11.051489,-4.564665,369.530728,-34.753309,-6.110453,2.608505,0.016536,-0.094047,0.182
2.771,8.483303,-6.528193,371.561052,-35.040748,-6.099716,1.446087,0.016416,-0.094307,0.183
2.772,7.954732,-4.044649,373.776116,-35.252636,-6.098857,1.113724,0.016317,-0.094315,0.184
2.773,9.191127,-3.501451,375.346968,-35.451219,-6.058274,2.327895,0.01614,-0.094449,0.185
2.774,7.595757,-5.909166,377.383875,-35.78549,-6.047544,1.103381,0.016025,-0.094825,0.186
2.775,5.826931,-4.842787,379.591977,-35.993352,-6.060888,0.886823,0.015967,-0.094821,0.187
2.776,6.79907,-2.792091,381.503092,-36.262082,-6.077721,2.04726,0.015931,-0.095051,0.188
2.777,6.619108,-4.937044,384.240268,-36.611719,-6.04545,0.753427,0.015734,-0.095283,0.189
2.778,4.317463,-5.289193,386.792839,-36.882988,-6.039222,0.68651,0.015614,-0.095356,0.19
2.779,4.22799,-2.971712,389.206142,-37.193503,-6.083353,1.709874,0.01563,-0.095562,0.191
2.78,5.111751,-3.607445,392.116752,-37.518687,-6.021233,0.393692,0.015356,-0.095682,0.192
2.781,3.074279,-5.200428,394.502534,-37.896842,-5.980231,0.459461,0.015159,-0.096062,0.193
2.782,1.834374,-3.416727,397.593288,-38.24374,-5.988001,1.351315,0.015061,-0.096188,0.194
2.783,3.16149,-2.722028,401.019829,-38.599831,-5.926208,0.005691,0.014778,-0.096254,0.195
2.784,1.830207,-4.581208,403.932487,-39.000406,-5.966606,0.2084,0.014771,-0.096552,0.196
2.785,-0.206663,-4.129959,406.846839,-39.380331,-5.899192,1.014761,0.0145,-0.096794,0.197
2.786,0.768468,-2.370077,410.095508,-39.818424,-5.876331,-0.389264,0.014329,-0.097095,0.198
2.787,0.499468,-3.607394,413.360533,-40.186209,-5.86468,-0.025854,0.014188,-0.097218,0.199
2.788,-1.804933,-4.310331,416.616218,-40.641434,-5.811316,0.661138,0.013949,-0.097551,0.2
2.789,-1.626286,-2.638373,420.202099,-41.073302,-5.7803,-0.714035,0.013756,-0.097747,0.201
2.79,-0.920877,-2.810522,423.644842,-41.527146,-5.743663,-0.276729,0.013558,-0.098023,0.202
2.791,-2.96054,-4.135947,427.075247,-41.919972,-5.747689,0.290627,0.013458,-0.098156,0.203
2.792,-3.844329,-3.083811,430.823987,-42.352626,-5.698718,-1.072257,0.013227,-0.098306,0.204
2.793,-3.049103,-2.278673,434.266992,-42.853524,-5.656464,-0.51554,0.013025,-0.09868,0.205
2.794,-4.203997,-3.694715,437.874334,-43.342286,-5.595468,-0.051075,0.012779,-0.098983,0.206
