,CoPx,CoPy,Fx,Fy,Fz,Mx,My,Mz,TIME
175,0.00580007,-0.11616761,0.30752665,-8.35950629,552.8669771,-64.22537737,-3.2064436,0.63358459,1.45833
176,0.00587152,-0.1152204,0.57145488,-7.73894548,554.2504989,-63.86108058,-3.2542859,0.7426722,1.46667
177,0.005885,-0.114125,0.569706,-6.885016,555.514293,-63.397822,-3.269,0.749721,1.475
178,0.00583312,-0.11305329,0.45154462,-6.06026057,556.0885112,-62.86740392,-3.24350582,0.73046614,1.48333
179,0.0057948,-0.1119244,0.30289799,-4.82025118,556.8355367,-62.32343481,-3.22655754,0.71667993,1.49167
180,0.005876,-0.110738,-0.052151,-3.432844,557.060938,-61.687696,-3.273054,0.628962,1.5
181,0.00584375,-0.10968201,-0.28857824,-2.31306989,556.7186252,-61.06199836,-3.25321466,0.58233464,1.50833
182,0.00609769,-0.10855993,-0.64444765,-1.01231779,556.3740248,-60.39980336,-3.39248417,0.50134176,1.51667
183,0.006165,-0.107615,-0.851218,0.020611,555.51416,-59.781524,-3.425008,0.449622,1.525
184,0.00631419,-0.10694006,-0.85210655,0.6685019,554.6020053,-59.30918037,-3.50208075,0.38353361,1.53333
185,0.00640998,-0.10624212,-0.911859,1.58543537,553.9130219,-58.84901153,-3.5506393,0.37575283,1.54167
186,0.006524,-0.105663,-0.941427,2.411996,553.801336,-58.516491,-3.612828,0.361711,1.55
187,0.0065202,-0.10499295,-0.76473488,3.23804036,553.8625079,-58.15156485,-3.61140652,0.40313702,1.55833
188,0.006635,-0.10430136,-0.94232589,4.33164718,554.6650936,-57.85222333,-3.68025639,0.39858862,1.56667
189,0.006677,-0.103753,-0.941829,5.159005,554.493521,-57.530442,-3.702553,0.406223,1.575
190,0.00682765,-0.10318813,-1.20808102,6.01452877,554.2100583,-57.18771694,-3.78406786,0.41047548,1.58333
191,0.006835,-0.102997,-1.206998,6.222572,553.635718,-57.022565,-3.783928,0.422311,1.59167
192,0.006936,-0.102879,-1.296696,6.131886,552.951555,-56.886871,-3.835213,0.369431,1.6
193,0.0070228,-0.10287976,-1.38550069,6.13345605,552.2034966,-56.8104519,-3.87788417,0.31868882,1.60833
194,0.00702423,-0.10298324,-1.44518612,5.95592447,551.4554894,-56.7908239,-3.87343122,0.23867085,1.61667
195,0.007117,-0.103165,-1.6522,6.045303,551.049174,-56.849026,-3.921812,0.107026,1.625
196,0.00712023,-0.10325195,-1.68134218,6.34020912,550.9338174,-56.8848773,-3.92289122,0.0853273,1.63333
197,0.00703607,-0.10341055,-1.73970008,6.57718449,550.3008909,-56.90704728,-3.87200441,0.06586115,1.64167
198,0.006942,-0.103473,-1.826449,6.932586,549.496687,-56.858312,-3.814717,0.048826,1.65
199,0.00683768,-0.10370169,-1.97322316,7.05012686,548.8658493,-56.91821909,-3.75290492,0.0272621,1.65833
200,0.00686556,-0.10409031,-2.06090058,6.93481906,548.3435259,-57.07723332,-3.76444497,0.02615098,1.66667
201,0.006742,-0.104708,-2.265839,6.492131,548.453415,-57.427335,-3.697794,-0.013665,1.675
202,0.00675944,-0.10541665,-2.20709891,6.02063591,548.9100882,-57.86407278,-3.71046128,-0.03289064,1.68333
203,0.00671396,-0.10601882,-2.11893574,5.54779162,549.7104279,-58.27960747,-3.69077436,-0.05735851,1.69167
204,0.006546,-0.106654,-2.177521,5.165384,550.161471,-58.676654,-3.601191,-0.075496,1.7
205,0.00632184,-0.10736918,-2.1463936,4.89952333,550.043332,-59.05764135,-3.477182,-0.09277075,1.70833
206,0.00606739,-0.10818906,-2.08499188,4.63452695,549.8100504,-59.48350188,-3.33587239,-0.1078908,1.71667
207,0.005792,-0.109081,-2.083394,4.015034,549.461466,-59.93564,-3.18274,-0.103429,1.725
208,0.0054362,-0.11015285,-2.17031324,3.12785574,549.6851905,-60.5492912,-2.98797102,-0.1434781,1.73333
209,0.00531302,-0.11126718,-2.11079111,1.94673545,550.3694005,-61.23784814,-2.92401064,-0.16526178,1.74167
210,0.005367,-0.11239,-2.171224,0.738597,551.164598,-61.945597,-2.957884,-0.16425,1.75
211,0.00576412,-0.11327917,-1.85067852,-0.23389345,552.9983173,-62.64331568,-3.18776083,-0.13550944,1.75833
212,0.00618164,-0.11344967,-1.49871788,-0.05273727,554.9516532,-62.95919232,-3.43039039,0.04007754,1.76667
213,0.00645,-0.113528,-1.292759,0.570376,555.128066,-63.02255,-3.580716,0.189612,1.775
214,0.00685536,-0.11356964,-1.08873323,0.77909576,554.4464469,-62.96814702,-3.80105955,0.28948651,1.78333
215,0.00715748,-0.1135172,-0.85372355,0.63224324,554.1643773,-62.90728976,-3.96656435,0.34293355,1.79167
216,0.007517,-0.11356,-0.944055,0.398701,553.765173,-62.885589,-4.162752,0.3943,1.8
217,0.00776169,-0.11388527,-0.82782769,0.13449725,553.4231713,-63.02668912,-4.2954733,0.42826258,1.80833
218,0.00799864,-0.11418973,-0.62190504,-0.39502054,553.080312,-63.15605907,-4.42393764,0.4577296,1.81667
