Time,Fx,Fy,Fz,Mx,My,Mz,CoPx,CoPy
0.461,-3.855755,-0.533683,551.825781,-41.881693,2.723107,0.05163,-0.004935,-0.075897
0.462,-3.85614,-0.620704,551.825837,-41.812265,2.677357,0.121129,-0.004852,-0.075771
0.463,-3.767538,-0.443578,551.827259,-41.820958,2.681705,0.137862,-0.00486,-0.075786
0.464,-3.678988,-0.444309,551.826775,-41.820781,2.685756,0.063495,-0.004867,-0.075786
0.465,-3.768318,-0.443841,551.827704,-41.755388,2.681648,0.137878,-0.00486,-0.075667
0.466,-3.680159,-0.444441,552.002191,-41.722729,2.662755,0.154728,-0.004824,-0.075584
0.467,-3.591817,-0.444891,551.657687,-41.722797,2.666725,0.080265,-0.004834,-0.075632
0.468,-3.591112,-0.443814,551.829757,-41.755748,2.644022,0.137821,-0.004791,-0.075668
0.469,-3.592061,-0.444239,552.002746,-41.657224,2.620939,0.137846,-0.004748,-0.075466
0.47,-3.503861,-0.355922,551.831739,-41.628772,2.602032,0.10894,-0.004715,-0.075437
0.471,-3.504276,-0.354733,552.003496,-41.661878,2.579347,0.166451,-0.004673,-0.075474
0.472,-3.326524,-0.177577,551.832618,-41.63796,2.610962,0.166435,-0.004731,-0.075454
0.473,-3.326276,-0.088941,551.831144,-41.641923,2.611029,0.120776,-0.004732,-0.075461
0.474,-3.238164,-0.176239,551.660599,-41.605745,2.592438,0.207109,-0.004699,-0.075419
0.475,-3.238231,-0.088285,551.661582,-41.609844,2.59232,0.195094,-0.004699,-0.075426
0.476,-3.061181,-0.000005,551.83408,-41.581307,2.577812,0.149483,-0.004671,-0.075351
0.477,-3.06178,0.000407,551.665033,-41.549069,2.554786,0.240603,-0.004631,-0.075316
0.478,-2.973137,0.000651,551.664518,-41.549228,2.559103,0.223801,-0.004639,-0.075316
0.479,-2.885031,-0.089379,552.181447,-41.511984,2.58622,0.195295,-0.004684,-0.075178
0.48,-2.885697,-0.001014,552.013382,-41.483844,2.563076,0.2744,-0.004643,-0.07515
0.481,-2.797223,-0.000932,552.185412,-41.451049,2.544368,0.257606,-0.004608,-0.075067
0.482,-2.796975,0.087705,552.183938,-41.455012,2.544434,0.211947,-0.004608,-0.075075
0.483,-2.619378,0.177199,552.014504,-41.427466,2.576249,0.315154,-0.004667,-0.075048
0.484,-2.53196,0.088166,552.015805,-41.423387,2.534177,0.286304,-0.004591,-0.07504
0.485,-2.443615,0.26543,552.359234,-41.36613,2.538732,0.269506,-0.004596,-0.07489
0.486,-2.354586,0.353867,552.0178,-41.371044,2.58899,0.331943,-0.00469,-0.074945
0.487,-2.443082,0.354144,552.188401,-41.337794,2.561831,0.315109,-0.004639,-0.074862
0.488,-2.35491,0.441959,552.36079,-41.309193,2.589081,0.286397,-0.004687,-0.074787
0.489,-2.265433,0.531611,552.533432,-41.281107,2.616844,0.37286,-0.004736,-0.074712
