Time,M024X,M024Y,M024Z,M025X,M025Y,M025Z,M026X,M026Y,M026Z,M027X,M027Y,M027Z,M028X,M028Y,M028Z,M029X,M029Y,M029Z,M030X,M030Y,M030Z
1.1333,156.044,172.46,1339.91,148.48,146.726,1189.89,137.13,224.812,671.252,138.495,5.24139,313.586,102.486,-46.9393,291.481,169.329,67.5284,199.782,127.242,151.566,161.377
1.1417,155.477,175.55,1347.77,148.716,147.628,1198.89,136.229,235.65,686.694,135.644,18.9313,327.337,100.834,-34.757,303.106,165.014,77.9276,211.854,126.454,170.859,182.301
1.15,154.769,178.094,1354.97,148.152,145.413,1207.71,135.195,244.402,702.195,134.323,33.9633,338.704,99.5568,-20.7492,312.265,162.643,96.0961,225.376,126.901,192.199,203.272
1.1583,154.195,180.018,1361.57,147.095,143.317,1216,134.156,251.896,716.954,133.493,50.1057,348.57,99.2043,-4.9234,318.849,164.591,120.981,242.883,127.404,215.732,223.998
1.1667,153.769,181.461,1367.79,148.406,142.787,1223.14,132.613,258.51,731.33,133.366,67.126,356.142,99.9741,12.9297,323.661,165.473,146.247,257.969,128.97,240.799,244.154
1.175,153.64,182.894,1373.74,149.954,142.102,1230.14,130.883,264.361,744.749,134.025,86.0979,362.268,100.837,32.4882,326.839,166.316,172.223,272.059,130.785,266.854,263.995
1.1833,153.522,184.069,1379.46,150.348,140.455,1236.92,128.683,268.909,757.508,135.403,105.638,367.454,103.158,54.1113,328.554,169.336,199.915,286.706,132.272,294.034,283.829
1.1917,153.726,185.682,1384.86,151.435,139.076,1243.68,125.628,272.512,769.419,137.568,126.482,371.618,105.795,77.2445,329.697,171.956,227.965,300.872,133.181,320.766,303.788
1.2,153.784,187.618,1389.77,152.877,138.136,1250.74,123.34,275.777,779.996,139.206,149.226,375.535,108.486,100.76,330.628,174.053,256.198,314.172,134.092,347.16,322.392
1.2083,153.473,190.091,1393.94,153.98,137.711,1258,120.995,278.803,789.574,141.383,172.133,379.393,111.53,125.25,331.899,175.935,283.879,326.507,133.921,372.087,339.352
1.2167,152.999,193.211,1397.49,155.05,138.165,1265.12,118.327,281.795,797.667,142.55,195.434,382.936,113.988,147.964,334.325,176.867,311.199,337.207,132.609,395.053,353.965
1.225,152.513,196.544,1400.44,155.776,139.131,1272.08,116.685,285.325,804.551,143.313,217.387,386.511,115.64,169.636,337.057,179.759,339.042,348.339,129.586,415.415,366.537
1.2333,152.236,199.925,1403.03,156.134,140.35,1278.07,116.135,289.811,810.687,143.46,237.206,390.257,117.07,189.869,340.126,178.7726096,342.6517236,346.539485,125.171,433.405,376.476
1.2417,152.399,203.613,1405.72,156.839,142.917,1283.4,116.679,294.942,816.11,143.003,254.27,393.964,117.433,207.191,343.354,177.774335,346.3049379,344.7182891,120.856,449.184,383.188
1.25,152.844,206.326,1408.06,157.04,146.038,1287.08,118.021,300.439,820.636,142.087,268.52,397.097,116.287,222.828,346.071,176.7879446,349.9146615,342.9187741,116.136,463.079,387.321
1.2583,153.482,209.232,1410.13,156.719,148.642,1290.2,119.956,305.806,824.314,140.829,280.301,399.425,114.848,235.762,348.372,175.8015542,353.5243851,341.1192591,113.047,474.831,389.153
1.2667,154.247,212.874,1411.92,156.525,152.337,1292,121.93,310.739,826.834,139.013,289.998,400.887,112.59,246.827,350.494,174.8032796,357.1775994,339.2980632,111.17,485.325,388.324
1.275,155.002,216.651,1412.82,156,156.57,1293.09,124.078,315.951,828.241,138.262,298.328,401.889,110.388,255.931,352.321,173.8168892,360.787323,337.4985482,110.298,494.174,384.694
1.2833,155.786,220.81,1413.2,155.337,161.32,1293.32,125.56,320.668,828.328,137.254,305.193,401.924,108.378,263.617,353.211,172.8304988,364.3970466,335.6990332,110.055,501.847,379.21
1.2917,156.578,224.986,1412.86,154.218,166.207,1293.02,127.207,326.42,827.077,136.027,311.497,400.804,106.487,270.379,353.298,171.8322241,368.0502609,333.8778373,109.941,508.774,371.717
1.3,157.169,228.875,1411.84,152.218,171.464,1292.44,128.766,332.46,824.809,135.119,317.119,398.914,104.882,276.033,352.991,170.8458337,371.6599845,332.0783223,109.715,515.276,362.342
1.3083,157.871,233.075,1410.42,152.168,176.922,1289.96,130.171,338.659,821.504,134.577,322.253,396.095,103.62,281.265,351.711,169.8594433,375.2697081,330.2788073,109.779,520.479,352.046
1.3167,158.352,237.243,1408.3,151.752,182.389,1287.4,131.168,344.633,817.101,133.926,327.533,392.211,102.303,286.13,349.847,168.8611687,378.9229223,328.4576114,110,524.981,341.43
1.325,158.388,241.018,1405.58,150.652,188.054,1283.53,132.358,350.131,812.098,133.322,332.745,387.414,101.308,290.827,346.889,167.8747783,382.532646,326.6580964,109.833,528.217,331.746
1.3333,158.649,245.285,1402.14,149.7941677,192.4858024,1279.091737,133.334,355.516,806.443,132.751,337.248,382.102,100.048,295.462,343.188,166.8883879,386.1423696,324.8585814,109.152,531.768,322.662
1.3417,158.593,249.475,1397.59,148.926,196.971,1274.6,134.882,361.285,799.706,131.592,341.535,375.844,98.5933,299.72,338.477,165.8901133,389.7955838,323.0373855,108.406,535.166,314.03
1.35,158.242,253.806,1392.11,149.406,203.036,1268.17,136.834,367.159,792.295,130.7,345.295,368.856,96.8317,304.189,332.588,164.9037229,393.4053074,321.2378705,108.027,538.75,304.817
1.3583,157.871,258.042,1385.68,150.082,209.274,1260.8,138.108,373.04,783.644,129.097,349.639,360.369,94.4977,308.108,325.256,163.9173325,397.0150311,319.4383555,108.035,542.527,295.514
1.3667,158.055,263.117,1378.6,150.569,215.201,1252.35,139.8,378.824,774.249,126.187,351.917,351.215,92.0235,310.093,314.763,162.9190579,400.6682453,317.6171595,106.416,549.127,288.194
1.375,157.885,268.539,1370.76,151.253,221.213,1242.64,141.434,384.533,763.981,122.231,349.256,342.118,88.3441,310.056,303.905,161.9326675,404.2779689,315.8176445,109.04,554.114,288.731
1.3833,157.459,274.234,1362.17,151.777,226.838,1231.87,141.986,390.534,753.308,118.635,343.994,333.215,84.6566,306.965,294.872,160.9462771,407.8876926,314.0181295,113.392,552.202,293.372
1.3917,156.455,280.005,1352.84,152.508,232.002,1220,141.308,397.015,742.559,116.384,339.661,326.1,83.0542,303.256,290.565,159.9480025,411.5409068,312.1969336,112.47,548.8,291.596
1.4,154.648,286.609,1343.26,153.489,236.573,1207.51,141.652,406.774,732.507,115.121,337.434,323.555,81.44,300.309,290.129,158.9616121,415.1506304,310.3974186,108.505,545.12,286.788
1.4083,152.688,291.56,1332.52,153.722,238.623,1194.8,139.461,424.242,727.939,113.394,337.175,326.735,80.2491,298.184,290.367,157.9752217,418.760354,308.5979036,108.295,543.157,288.879
1.4167,150.167,296.514,1322.08,155.568,242.143,1183.93,135.309,445.576,731.362,113.024,336.611,332.557,80.1452,296.58,291.08,156.9769471,422.4135683,306.7767077,107.227,542.079,292.849
1.425,147.141,301.367,1311.2,158.986,246.168,1175.07,130.587,461.422,735.014,111.782,335.465,337.195,79.122,295.231,291.485,155.9905567,426.0232919,304.9771927,106.929,541.345,294.75
1.4333,144.957,304.664,1300.93,160.657,246.024,1169.32,128.428,470.694,736.08,110.737,334.754,337.022,78.8266,296.013,291.479,155.0041663,429.6330155,303.1776777,106.063,541.628,293.738
1.4417,143.366,305.992,1291.91,161.62,246.84,1166.98,127.595,476.714,735.231,110.906,338.355,335.679,78.7429,299.129,291.89,154.0058916,433.2862298,301.3564818,107.215,544.924,290.653
1.45,143.193692,308.9672595,1295.472775,162.56,251.067,1166.46,126.876,481.565,734.432,111.283,345.805,335.484,78.3086,304.522,293.871,153.0195012,436.8959534,299.5569668,106.945,551.132,287.503
1.4583,143.021384,311.942519,1299.03555,161.725,256.052,1167.49,126.525,487.137,733.481,110.466,355.55,336.003,77.2404,311.117,297.271,152.0331108,440.505677,297.7574518,105.434,558.962,284.677
1.4667,142.847,314.953625,1302.64125,159.088,260.11,1168.26,126.207,493.297,733.191,109.462,364.827,337.741,75.9499,314.377,300.336,151.0348362,444.1588913,295.9362559,105.262,565.125,283.308
1.475,142.674692,317.9288845,1306.204025,157.767,264.609,1169.13,125.027,499.722,733.132,107.703,366.029,339.169,75.8837,314.54,300.529,150.0484458,447.7686149,294.1367409,105.91,564.55,283.816
1.4833,142.502384,320.904144,1309.7668,157.887,269.586,1168.95,123.719,504.616,732.771,108.001,360.883,339.23,76.5648,312.623,299.075,149.0620554,451.3783385,292.3372259,105.831,560.785,284.449
1.4917,142.328,323.91525,1313.3725,156.818,274.549,1169.06,122.477,506.061,731.365,109.676,355.377,338.494,77.6958,310.603,297.439,148.0637808,455.0315528,290.51603,106.185,557.24,285.51
1.5,142.155692,326.8905095,1316.935275,156.401,280.37,1169.39,121.569,505.624,729.224,109.738,353.071,337.496,77.9524,309.183,296.791,147.0773904,458.6412764,288.716515,106.122,555.15,286.046
